geneproductid,molecularfunctionid
GP00035336,MF00001891
GP00026731,MF00002040
GP00018573,MF00002058
GP00031537,MF00000369
GP00024928,MF00006717
GP00029594,MF00000978
GP00034827,MF00001891
GP00030712,MF00000412
GP00022239,MF00004591
GP00034263,MF00001891
GP00033690,MF00001900
GP00028314,MF00001891
GP00022498,MF00000437
GP00023949,MF00000209
GP00019553,MF00004548
GP00017600,MF00001892
GP00029358,MF00001887
GP00020644,MF00006718
GP00032826,MF00001891
GP00025605,MF00012140
GP00021765,MF00002050
GP00017363,MF00001891
GP00033939,MF00000408
GP00018392,MF00007373
GP00020746,MF00007362
GP00024310,MF00003096
GP00023662,MF00006831
GP00034231,MF00001889
GP00032059,MF00001891
GP00023971,MF00000130
GP00027055,MF00001891
GP00028774,MF00001155
GP00029975,MF00001900
GP00024160,MF00006789
GP00033484,MF00000446
GP00025543,MF00000132
GP00029795,MF00010533
GP00019286,MF00001655
GP00016985,MF00001889
GP00017643,MF00000129
GP00024992,MF00007160
GP00024898,MF00001900
GP00028409,MF00009130
GP00019718,MF00000412
GP00033958,MF00001891
GP00029048,MF00001891
GP00028025,MF00000406
GP00022519,MF00001891
GP00019386,MF00010007
GP00016964,MF00000408
GP00020739,MF00001940
GP00027482,MF00001891
GP00025907,MF00002059
GP00033650,MF00001891
GP00017013,MF00000249
GP00021014,MF00001304
GP00022602,MF00009127
GP00025302,MF00000447
GP00018341,MF00000249
GP00017306,MF00000229
GP00032299,MF00006717
GP00019205,MF00005045
GP00022078,MF00007362
GP00032265,MF00001891
GP00035307,MF00000407
GP00029331,MF00007362
GP00030966,MF00001891
GP00025728,MF00004926
GP00027866,MF00003113
GP00023649,MF00005119
GP00027845,MF00007382
GP00020947,MF00001891
GP00020800,MF00000446
GP00026435,MF00000408
GP00021980,MF00001900
GP00022898,MF00009874
GP00022231,MF00001618
GP00028947,MF00001944
GP00021561,MF00000249
GP00034004,MF00003700
GP00025566,MF00004629
GP00023121,MF00005347
GP00033962,MF00002124
GP00026553,MF00004615
GP00022479,MF00001900
GP00023494,MF00001891
GP00018021,MF00001891
GP00021808,MF00001891
GP00019784,MF00001447
GP00018278,MF00000836
GP00025774,MF00000776
GP00027920,MF00006287
GP00030263,MF00000446
GP00017975,MF00001566
GP00018538,MF00000446
GP00024519,MF00001891
GP00027980,MF00001891
GP00018369,MF00009079
GP00018545,MF00005173
GP00019389,MF00001891
GP00020517,MF00000408
GP00032716,MF00001891
GP00024977,MF00000020
GP00033749,MF00001891
GP00025308,MF00001264
GP00022745,MF00001891
GP00017852,MF00006346
GP00034732,MF00006417
GP00019450,MF00011467
GP00032293,MF00001891
GP00028092,MF00000446
GP00030823,MF00001481
GP00018788,MF00001891
GP00024148,MF00000288
GP00020386,MF00006585
GP00034559,MF00001891
GP00016897,MF00000132
GP00024079,MF00001614
GP00032005,MF00001891
GP00031155,MF00003576
GP00028190,MF00009219
GP00025552,MF00000759
GP00026226,MF00006717
GP00020741,MF00001264
GP00026702,MF00002086
GP00026311,MF00001891
GP00020153,MF00007207
GP00030524,MF00004900
GP00019860,MF00007362
GP00022941,MF00000607
GP00030248,MF00001891
GP00028420,MF00000406
GP00018353,MF00001891
GP00032944,MF00001891
GP00020582,MF00001891
GP00021716,MF00012209
GP00019945,MF00000420
GP00026055,MF00003902
GP00024237,MF00006307
GP00030980,MF00001891
GP00020527,MF00004608
GP00027475,MF00007362
GP00018584,MF00000858
GP00032973,MF00000406
GP00017580,MF00000451
GP00022812,MF00001617
GP00027048,MF00001481
GP00026559,MF00009217
GP00026220,MF00002457
GP00020774,MF00001050
GP00024677,MF00001608
GP00031656,MF00005105
GP00034544,MF00003487
GP00026448,MF00001756
GP00027725,MF00001618
GP00024398,MF00000132
GP00017257,MF00000132
GP00029462,MF00001637
GP00021722,MF00006718
GP00019129,MF00002004
GP00028464,MF00000448
GP00017360,MF00000132
GP00026847,MF00001212
GP00033097,MF00001528
GP00018605,MF00006872
GP00031061,MF00001891
GP00020284,MF00007362
GP00017367,MF00009193
GP00021254,MF00002051
GP00034026,MF00001891
GP00019127,MF00000130
GP00027162,MF00000407
GP00024909,MF00000314
GP00021528,MF00004651
GP00020975,MF00001956
GP00026776,MF00001891
GP00023081,MF00001891
GP00018532,MF00001940
GP00032946,MF00000881
GP00031470,MF00001884
GP00018053,MF00001891
GP00029417,MF00004639
GP00029955,MF00000433
GP00018389,MF00005099
GP00033076,MF00001891
GP00021633,MF00006717
GP00018142,MF00012020
GP00018368,MF00006402
GP00021220,MF00004814
GP00018406,MF00007362
GP00021012,MF00012026
GP00019077,MF00000408
GP00023376,MF00001272
GP00027578,MF00011941
GP00024752,MF00000130
GP00020274,MF00007364
GP00021015,MF00012200
GP00028805,MF00000408
GP00021138,MF00001481
GP00021008,MF00001891
GP00016983,MF00005406
GP00020148,MF00009850
GP00017863,MF00002096
GP00030250,MF00000522
